SEARCHVAL,coordinates,Nearest School,Neareset School Coordinates,Nearest School Distance,Raffles MRT Coords,Time To City,Nearest Malls,Nearest Mall Distance,Nearest MRT,Nearest MRT Distance,Original Nameds
406 ANG MO KIO AVENUE 10 SINGAPORE 560406,"1.36200453938712,103.853879910407",TOWNSVILLE PRIMARY SCHOOL,"1.36003263746623,103.853826048327",608,"1.28393326234538,103.851463066212",25.36666667,AMK HUB,1221,ANG MO KIO MRT STATION (NS16),1117,406 ANG MO KIO AVE 10
RAINBOW VILLE,"1.32822550655778,103.934469289425",FENGSHAN PRIMARY SCHOOL,"1.32980598760785,103.931710293058",508,"1.28393326234538,103.851463066212",27.05,DJITSUN MALL BEDOK,708,BEDOK RESERVOIR MRT STATION (DT30),1120,406 BEDOK NTH AVE 3
406 BUKIT BATOK WEST AVENUE 7 SINGAPORE 650406,"1.36517826718432,103.745813150204",SAINT ANTHONY'S PRIMARY SCHOOL,"1.36411948475833,103.749251919049",530,"1.28393326234538,103.851463066212",44.51666667,KEAT HONG SHOPPING CENTRE,2010,BUKIT GOMBAK MRT STATION (NS3),1292,406 BT BATOK WEST AVE 7
406 CHOA CHU KANG AVENUE 3 SINGAPORE 680406,"1.38037389462046,103.740209588608",CHUA CHU KANG PRIMARY SCHOOL,"1.37775890093367,103.741832917421",475,"1.28393326234538,103.851463066212",47.21666667,SUNSHINE PLACE,393,CHOA CHU KANG MRT STATION (NS4),949,406 CHOA CHU KANG AVE 3
406 FAJAR ROAD SINGAPORE 670406,"1.38185025770492,103.767573058956",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",426,"1.28393326234538,103.851463066212",42.46666667,BUKIT PANJANG PLAZA,715,BUKIT PANJANG MRT STATION (DT1),1034,406 FAJAR RD
406 HOUGANG AVENUE 10 SINGAPORE 530406,"1.3736394979687,103.896187663804",CHIJ OUR LADY OF THE NATIVITY,"1.37330297140128,103.897575728303",469,"1.28393326234538,103.851463066212",32.01666667,HOUGANG MALL,377,HOUGANG MRT STATION (NE14),871,406 HOUGANG AVE 10
ELIAS KINDERGARTEN,"1.35431434826725,103.722395947126",SHUQUN PRIMARY SCHOOL,"1.34765311431632,103.721523713379",1190,"1.28393326234538,103.851463066212",42.5,BOON LAY SHOPPING CENTRE,1807,LAKESIDE MRT STATION (EW26),1794,406 JURONG WEST ST 42
406 PANDAN GARDENS SINGAPORE 600406,"1.318821472571,103.74922637213",QIFA PRIMARY SCHOOL,"1.31325113867272,103.756743261958",2178,"1.28393326234538,103.851463066212",35.05,JEM,2415,JURONG EAST MRT STATION (EW24 / NS1),2436,406 PANDAN GDNS
406 PASIR RIS DRIVE 6 SINGAPORE 510406,"1.37376656667899,103.955388318547",CASUARINA PRIMARY SCHOOL,"1.37246063927999,103.957020286115",382,"1.28393326234538,103.851463066212",38.15,DOWNTOWN EAST,499,PASIR RIS MRT STATION (EW1),1022,406 PASIR RIS DR 6
406 SEMBAWANG DRIVE SINGAPORE 750406,"1.45292980520031,103.816977584813",ENDEAVOUR PRIMARY SCHOOL,"1.45403837499301,103.817436231731",300,"1.28393326234538,103.851463066212",46.6,SUN PLAZA,773,SEMBAWANG MRT STATION (NS11),710,406 SEMBAWANG DR
SIN MING GARDEN,"1.36294455374689,103.834093500169",AI TONG SCHOOL,"1.3605834338904,103.833020333986",554,"1.28393326234538,103.851463066212",32.15,THOMSON PLAZA,1573,MARYMOUNT MRT STATION (CC16),2401,406 SIN MING AVE
DBS TAMPINES STREET 41,"1.35783243904096,103.945773504554",GONGSHANG PRIMARY SCHOOL,"1.35723721393297,103.949115320172",856,"1.28393326234538,103.851463066212",35.53333333,TAMPINES MALL,777,TAMPINES EAST MRT STATION (DT33),1143,406 TAMPINES ST 41
406 WOODLANDS STREET 41 SINGAPORE 730406,"1.42940389596979,103.772728145323",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",720,"1.28393326234538,103.851463066212",54.05,MARSILING MALL HAWKER CENTRE,1169,MARSILING MRT STATION (NS8),588,406 WOODLANDS ST 41
406 YISHUN AVENUE 6 SINGAPORE 760406,"1.42607011749044,103.849303010046",NORTH VIEW PRIMARY SCHOOL,"1.42752327193727,103.848190787869",314,"1.28393326234538,103.851463066212",45.5,WISTERIA MALL,1660,YISHUN MRT STATION (NS13),2131,406 YISHUN AVE 6
FERN VIEW,"1.38801898266423,103.87429503286",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",520,"1.28393326234538,103.851463066212",48.68333333,THE SELETAR MALL,607,BUANGKOK MRT STATION (NE15),3110,406A FERNVALE RD
FERN VIEW,"1.38842869026139,103.87432292478",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",431,"1.28393326234538,103.851463066212",48.16666667,THE SELETAR MALL,511,BUANGKOK MRT STATION (NE15),3014,406B FERNVALE RD
FERN VIEW,"1.38867904803847,103.874702601249",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",427,"1.28393326234538,103.851463066212",41.26666667,THE SELETAR MALL,441,BUANGKOK MRT STATION (NE15),2944,406C FERNVALE RD
TECK GHEE SQUARE,"1.36191347195214,103.855247666901",TOWNSVILLE PRIMARY SCHOOL,"1.36003263746623,103.853826048327",485,"1.28393326234538,103.851463066212",30.31666667,AMK HUB,1398,ANG MO KIO MRT STATION (NS16),1294,407 ANG MO KIO AVE 10
RAINBOW VILLE,"1.32846320022376,103.933682843781",FENGSHAN PRIMARY SCHOOL,"1.32980598760785,103.931710293058",392,"1.28393326234538,103.851463066212",23.85,DJITSUN MALL BEDOK,639,BEDOK RESERVOIR MRT STATION (DT30),1141,407 BEDOK NTH AVE 3
407 BUKIT BATOK WEST AVENUE 4 SINGAPORE 650407,"1.36485171911506,103.745814559435",SAINT ANTHONY'S PRIMARY SCHOOL,"1.36411948475833,103.749251919049",512,"1.28393326234538,103.851463066212",44,KEAT HONG SHOPPING CENTRE,2041,BUKIT GOMBAK MRT STATION (NS3),1258,407 BT BATOK WEST AVE 4
407 CHOA CHU KANG AVENUE 3 SINGAPORE 680407,"1.38041759813853,103.740828418583",CHUA CHU KANG PRIMARY SCHOOL,"1.37775890093367,103.741832917421",406,"1.28393326234538,103.851463066212",46.31666667,SUNSHINE PLACE,417,CHOA CHU KANG MRT STATION (NS4),880,407 CHOA CHU KANG AVE 3
407 FAJAR ROAD SINGAPORE 670407,"1.38144471081245,103.768305890206",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",294,"1.28393326234538,103.851463066212",41.4,FAJAR SHOPPING CENTRE,536,BUKIT PANJANG MRT STATION (DT1),1065,407 FAJAR RD
407 HOUGANG AVENUE 10 SINGAPORE 530407,"1.3729650974742,103.895673302556",CHIJ OUR LADY OF THE NATIVITY,"1.37330297140128,103.897575728303",526,"1.28393326234538,103.851463066212",34.48333333,HOUGANG MALL,322,HOUGANG MRT STATION (NE14),816,407 HOUGANG AVE 10
HONG KAH COURT,"1.35489444765725,103.721256064307",SHUQUN PRIMARY SCHOOL,"1.34765311431632,103.721523713379",1330,"1.28393326234538,103.851463066212",44.4,BOON LAY SHOPPING CENTRE,1948,LAKESIDE MRT STATION (EW26),1935,407 JURONG WEST ST 42
407 PANDAN GARDENS SINGAPORE 600407,"1.31889048230784,103.748627513117",QIFA PRIMARY SCHOOL,"1.31325113867272,103.756743261958",2230,"1.28393326234538,103.851463066212",36.68333333,JEM,2395,JURONG EAST MRT STATION (EW24 / NS1),2416,407 PANDAN GDNS
407 PASIR RIS DRIVE 6 SINGAPORE 510407,"1.37362757229605,103.954517357402",CASUARINA PRIMARY SCHOOL,"1.37246063927999,103.957020286115",480,"1.28393326234538,103.851463066212",36.86666667,DOWNTOWN EAST,485,PASIR RIS MRT STATION (EW1),923,407 PASIR RIS DR 6
407 SEMBAWANG DRIVE SINGAPORE 750407,"1.45332598016276,103.816840072575",ENDEAVOUR PRIMARY SCHOOL,"1.45403837499301,103.817436231731",188,"1.28393326234538,103.851463066212",47.8,SUN PLAZA,870,SEMBAWANG MRT STATION (NS11),807,407 SEMBAWANG DR
407 SERANGOON AVENUE 1 SINGAPORE 550407,"1.34718613034606,103.872968182223",YANGZHENG PRIMARY SCHOOL,"1.34864575840923,103.868595527042",920,"1.28393326234538,103.851463066212",20.73333333,NEX,591,SERANGOON MRT STATION (CC13),506,407 SERANGOON AVE 1
SIN MING GARDEN,"1.36345320627772,103.834214627275",AI TONG SCHOOL,"1.3605834338904,103.833020333986",596,"1.28393326234538,103.851463066212",31.66666667,THOMSON PLAZA,1614,MARYMOUNT MRT STATION (CC16),2360,407 SIN MING AVE
SUN PLAZA GREEN,"1.35819601830911,103.945015695225",GONGSHANG PRIMARY SCHOOL,"1.35723721393297,103.949115320172",923,"1.28393326234538,103.851463066212",34.86666667,TAMPINES MALL,833,TAMPINES EAST MRT STATION (DT33),1266,407 TAMPINES ST 41
407 YISHUN AVENUE 6 SINGAPORE 760407,"1.42590713399828,103.848169903152",NORTH VIEW PRIMARY SCHOOL,"1.42752327193727,103.848190787869",309,"1.28393326234538,103.851463066212",44.7,WISTERIA MALL,1504,YISHUN MRT STATION (NS13),2065,407 YISHUN AVE 6
FERN VIEW,"1.38826853302736,103.875272052202",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",450,"1.28393326234538,103.851463066212",41.58333333,THE SELETAR MALL,464,BUANGKOK MRT STATION (NE15),2967,407A FERNVALE RD
FERN VIEW,"1.38899739157777,103.875147967354",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",384,"1.28393326234538,103.851463066212",40.68333333,THE SELETAR MALL,398,BUANGKOK MRT STATION (NE15),2901,407B FERNVALE RD
408 BEDOK NORTH AVENUE 2 SINGAPORE 460408,"1.32852320209845,103.932856033158",FENGSHAN PRIMARY SCHOOL,"1.32980598760785,103.931710293058",281,"1.28393326234538,103.851463066212",24.75,DJITSUN MALL BEDOK,569,BEDOK RESERVOIR MRT STATION (DT30),1209,408 BEDOK NTH AVE 2
408 BUKIT BATOK WEST AVENUE 4 SINGAPORE 650408,"1.36481977758189,103.744989792545",SAINT ANTHONY'S PRIMARY SCHOOL,"1.36411948475833,103.749251919049",608,"1.28393326234538,103.851463066212",42.61666667,KEAT HONG SHOPPING CENTRE,2060,BUKIT GOMBAK MRT STATION (NS3),1354,408 BT BATOK WEST AVE 4
408 CHOA CHU KANG AVENUE 3 SINGAPORE 680408,"1.37991383605328,103.740467037393",CHUA CHU KANG PRIMARY SCHOOL,"1.37775890093367,103.741832917421",434,"1.28393326234538,103.851463066212",46.63333333,SUNSHINE PLACE,323,CHOA CHU KANG MRT STATION (NS4),908,408 CHOA CHU KANG AVE 3
408 FAJAR ROAD SINGAPORE 670408,"1.38180582760627,103.76886288818",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",365,"1.28393326234538,103.851463066212",45.7,FAJAR SHOPPING CENTRE,436,BUKIT PANJANG MRT STATION (DT1),1165,408 FAJAR RD
408 HOUGANG AVENUE 10 SINGAPORE 530408,"1.37332612525415,103.895386227354",CHIJ OUR LADY OF THE NATIVITY,"1.37330297140128,103.897575728303",568,"1.28393326234538,103.851463066212",33.48333333,HOUGANG MALL,260,HOUGANG MRT STATION (NE14),754,408 HOUGANG AVE 10
HONG KAH COURT,"1.35478633435811,103.722563908677",SHUQUN PRIMARY SCHOOL,"1.34765311431632,103.721523713379",1257,"1.28393326234538,103.851463066212",43.43333333,BOON LAY SHOPPING CENTRE,1875,LAKESIDE MRT STATION (EW26),1862,408 JURONG WEST ST 42
408 PANDAN GARDENS SINGAPORE 600408,"1.31820397685545,103.74881622665",QIFA PRIMARY SCHOOL,"1.31325113867272,103.756743261958",2091,"1.28393326234538,103.851463066212",35.86666667,JEM,2342,JURONG EAST MRT STATION (EW24 / NS1),2363,408 PANDAN GDNS
408 PASIR RIS DRIVE 6 SINGAPORE 510408,"1.37317836515425,103.953731204512",CASUARINA PRIMARY SCHOOL,"1.37246063927999,103.957020286115",606,"1.28393326234538,103.851463066212",38.31666667,DOWNTOWN EAST,586,PASIR RIS MRT STATION (EW1),895,408 PASIR RIS DR 6
408 SEMBAWANG DRIVE SINGAPORE 750408,"1.45345895920531,103.817721249079",ENDEAVOUR PRIMARY SCHOOL,"1.45403837499301,103.817436231731",304,"1.28393326234538,103.851463066212",47.75,SUN PLAZA,896,SEMBAWANG MRT STATION (NS11),823,408 SEMBAWANG DR
408 SERANGOON AVENUE 1 SINGAPORE 550408,"1.34724731259566,103.873453024365",YANGZHENG PRIMARY SCHOOL,"1.34864575840923,103.868595527042",978,"1.28393326234538,103.851463066212",21.05,NEX,650,SERANGOON MRT STATION (CC13),565,408 SERANGOON AVE 1
SIN MING GARDEN,"1.36334651886138,103.834839633876",AI TONG SCHOOL,"1.3605834338904,103.833020333986",668,"1.28393326234538,103.851463066212",31,THOMSON PLAZA,1687,MARYMOUNT MRT STATION (CC16),2282,408 SIN MING AVE
SUN PLAZA VIEW,"1.35877855850616,103.945268291852",TAMPINES NORTH PRIMARY SCHOOL,"1.36047641484682,103.948725782833",660,"1.28393326234538,103.851463066212",35.98333333,TAMPINES MALL,911,TAMPINES EAST MRT STATION (DT33),1301,408 TAMPINES ST 41
408 WOODLANDS STREET 41 SINGAPORE 730408,"1.4288525321363,103.772369185878",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",814,"1.28393326234538,103.851463066212",54.96666667,MARSILING MALL HAWKER CENTRE,1241,MARSILING MRT STATION (NS8),660,408 WOODLANDS ST 41
408 YISHUN AVENUE 6 SINGAPORE 760408,"1.42626632416059,103.848703212672",NORTH VIEW PRIMARY SCHOOL,"1.42752327193727,103.848190787869",263,"1.28393326234538,103.851463066212",44.21666667,WISTERIA MALL,1579,YISHUN MRT STATION (NS13),2037,408 YISHUN AVE 6
CORAL VALE,"1.38876434017521,103.876211939865",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",414,"1.28393326234538,103.851463066212",39.63333333,THE SELETAR MALL,374,BUANGKOK MRT STATION (NE15),2848,408A FERNVALE RD
CORAL VALE,"1.3890042738829,103.876069073536",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",379,"1.28393326234538,103.851463066212",39.5,THE SELETAR MALL,339,BUANGKOK MRT STATION (NE15),2813,408B FERNVALE RD
CORAL VALE,"1.38924471342298,103.876556317593",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",452,"1.28393326234538,103.851463066212",38.43333333,THE SELETAR MALL,402,BUANGKOK MRT STATION (NE15),2742,408C FERNVALE RD
409 BEDOK NORTH AVENUE 2 SINGAPORE 460409,"1.32810291260758,103.932938099482",FENGSHAN PRIMARY SCHOOL,"1.32980598760785,103.931710293058",333,"1.28393326234538,103.851463066212",23.81666667,DJITSUN MALL BEDOK,523,BEDOK RESERVOIR MRT STATION (DT30),1256,409 BEDOK NTH AVE 2
409 BUKIT BATOK WEST AVENUE 4 SINGAPORE 650409,"1.36448899593886,103.745816406222",SAINT ANTHONY'S PRIMARY SCHOOL,"1.36411948475833,103.749251919049",477,"1.28393326234538,103.851463066212",44.65,KEAT HONG SHOPPING CENTRE,2101,BUKIT GOMBAK MRT STATION (NS3),1214,409 BT BATOK WEST AVE 4
409 CHOA CHU KANG AVENUE 3 SINGAPORE 680409,"1.38112967018954,103.741877152961",CHUA CHU KANG PRIMARY SCHOOL,"1.37775890093367,103.741832917421",533,"1.28393326234538,103.851463066212",44.68333333,SUNSHINE PLACE,572,CHOA CHU KANG MRT STATION (NS4),729,409 CHOA CHU KANG AVE 3
409 HOUGANG AVENUE 10 SINGAPORE 530409,"1.37369229134185,103.895116210204",CHIJ OUR LADY OF THE NATIVITY,"1.37330297140128,103.897575728303",617,"1.28393326234538,103.851463066212",33.06666667,HOUGANG MALL,237,HOUGANG MRT STATION (NE14),731,409 HOUGANG AVE 10
409 JURONG WEST STREET 42 SINGAPORE 640409,"1.35409792704061,103.725324736878",SHUQUN PRIMARY SCHOOL,"1.34765311431632,103.721523713379",1378,"1.28393326234538,103.851463066212",42.03333333,BOON LAY SHOPPING CENTRE,2182,LAKESIDE MRT STATION (EW26),1877,409 JURONG WEST ST 42
409 PANDAN GARDENS SINGAPORE 600409,"1.31851207644417,103.747372481331",QIFA PRIMARY SCHOOL,"1.31325113867272,103.756743261958",2424,"1.28393326234538,103.851463066212",34.81666667,JEM,2195,JURONG EAST MRT STATION (EW24 / NS1),2216,409 PANDAN GDNS
409 PASIR RIS DRIVE 6 SINGAPORE 510409,"1.37291719840656,103.954225824192",CASUARINA PRIMARY SCHOOL,"1.37246063927999,103.957020286115",547,"1.28393326234538,103.851463066212",38.28333333,DOWNTOWN EAST,582,PASIR RIS MRT STATION (EW1),969,409 PASIR RIS DR 6
409 SAUJANA ROAD SINGAPORE 670409,"1.38233492640361,103.767677663417",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",560,"1.28393326234538,103.851463066212",45.46666667,GREENRIDGE SHOPPING CENTRE,475,BUKIT PANJANG MRT STATION (DT1),1174,409 SAUJANA RD
409 SEMBAWANG DRIVE SINGAPORE 750409,"1.45303321140803,103.817650679888",ENDEAVOUR PRIMARY SCHOOL,"1.45403837499301,103.817436231731",334,"1.28393326234538,103.851463066212",47.51666667,SUN PLAZA,821,SEMBAWANG MRT STATION (NS11),758,409 SEMBAWANG DR
409 SERANGOON CENTRAL SINGAPORE 550409,"1.34814760717489,103.874419496654",YANGZHENG PRIMARY SCHOOL,"1.34864575840923,103.868595527042",1104,"1.28393326234538,103.851463066212",21.18333333,NEX,502,SERANGOON MRT STATION (CC13),417,409 SERANGOON CTRL
SUN PLAZA VIEW,"1.35915579362423,103.945140506761",TAMPINES NORTH PRIMARY SCHOOL,"1.36047641484682,103.948725782833",660,"1.28393326234538,103.851463066212",39.3,TAMPINES MALL,999,TAMPINES EAST MRT STATION (DT33),1378,409 TAMPINES ST 41
409 WOODLANDS STREET 41 SINGAPORE 730409,"1.42912098811762,103.773326475011",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",738,"1.28393326234538,103.851463066212",53.96666667,MARSILING MALL HAWKER CENTRE,1166,MARSILING MRT STATION (NS8),584,409 WOODLANDS ST 41
409 YISHUN RING ROAD SINGAPORE 760409,"1.42620385438309,103.847273164146",NORTH VIEW PRIMARY SCHOOL,"1.42752327193727,103.848190787869",265,"1.28393326234538,103.851463066212",41.61666667,WISTERIA MALL,1408,YISHUN MRT STATION (NS13),1890,409 YISHUN RING RD
CORAL VALE,"1.38901641991439,103.877155396166",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",540,"1.28393326234538,103.851463066212",37.96666667,THE SELETAR MALL,500,BUANGKOK MRT STATION (NE15),2723,409A FERNVALE RD
CORAL VALE,"1.38949816122418,103.877011997742",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",515,"1.28393326234538,103.851463066212",37.66666667,THE SELETAR MALL,448,BUANGKOK MRT STATION (NE15),2690,409B FERNVALE RD
BEDOK SOUTH PARKVIEW,"1.32105071817917,103.94080318215",BEDOK GREEN PRIMARY SCHOOL,"1.32344593287992,103.937878976352",715,"1.28393326234538,103.851463066212",28.75,BEDOK MALL,1736,TANAH MERAH MRT STATION (EW4),1276,41 BEDOK STH RD
41 CAMBRIDGE ROAD SINGAPORE 210041,"1.31543762081432,103.849817677057",FARRER PARK PRIMARY SCHOOL,"1.31236867681371,103.850766402965",597,"1.28393326234538,103.851463066212",19.96666667,UNITED SQUARE,1149,FARRER PARK MRT STATION,774,41 CAMBRIDGE RD
41 CHAI CHEE STREET SINGAPORE 461041,"1.32736155573914,103.926119427367",FENGSHAN PRIMARY SCHOOL,"1.32980598760785,103.931710293058",772,"1.28393326234538,103.851463066212",26.6,DJITSUN MALL BEDOK,532,BEDOK NORTH MRT STATION (DT29),1676,41 CHAI CHEE ST
41 CIRCUIT ROAD SINGAPORE 370041,"1.32720568580381,103.88626741965",CANOSSA CATHOLIC PRIMARY SCHOOL,"1.32664424544839,103.882227964852",684,"1.28393326234538,103.851463066212",20.91666667,PAYA LEBAR SQUARE,1751,MATTAR MRT STATION (DT25),551,41 CIRCUIT RD
41 HOLLAND DRIVE SINGAPORE 270041,"1.30762004852147,103.793463531218",NEW TOWN PRIMARY SCHOOL,"1.29964188181021,103.80010216304",1374,"1.28393326234538,103.851463066212",18.36666667,HOLLAND VILLAGE SHOPPING MALL,573,BUONA VISTA MRT STATION (EW21),492,41 HOLLAND DR
WHAMPOA GARDENS,"1.32701402133741,103.856570634719",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",945,"1.28393326234538,103.851463066212",26,HDB HUB,1528,BOON KENG MRT STATION (NE9),1351,41 JLN BAHAGIA
41 KIM CHENG STREET SINGAPORE 160041,"1.2846906958963,103.831590918207",ZHANGDE PRIMARY SCHOOL,"1.28421153335379,103.825951875662",962,"1.28393326234538,103.851463066212",14.83333333,TIONG BAHRU PLAZA,699,TIONG BAHRU MRT STATION (EW17),616,41 KIM CHENG ST
SIMS VISTA,"1.31685532892182,103.875551269808",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",1164,"1.28393326234538,103.851463066212",20.16666667,APERIA,1964,GEYLANG BAHRU MRT STATION (DT24),1147,41 SIMS DR
41 TEBAN GARDENS ROAD SINGAPORE 600041,"1.32158737897173,103.740986913838",FUHUA PRIMARY SCHOOL,"1.33650394789627,103.736103745748",3085,"1.28393326234538,103.851463066212",39.2,JEM,2327,JURONG EAST MRT STATION (EW24 / NS1),2347,41 TEBAN GDNS RD
410 BEDOK NORTH AVENUE 2 SINGAPORE 460410,"1.32788785914047,103.931835804463",FENGSHAN PRIMARY SCHOOL,"1.32980598760785,103.931710293058",217,"1.28393326234538,103.851463066212",27.31666667,DJITSUN MALL BEDOK,405,BEDOK RESERVOIR MRT STATION (DT30),1360,410 BEDOK NTH AVE 2
410 BUKIT BATOK WEST AVENUE 4 SINGAPORE 650410,"1.36445863795592,103.744991611928",SAINT ANTHONY'S PRIMARY SCHOOL,"1.36411948475833,103.749251919049",570,"1.28393326234538,103.851463066212",43.63333333,KEAT HONG SHOPPING CENTRE,2124,BUKIT GOMBAK MRT STATION (NS3),1307,410 BT BATOK WEST AVE 4
410 COMMONWEALTH AVENUE WEST SINGAPORE 120410,"1.31144123230238,103.769691998438",PEI TONG PRIMARY SCHOOL,"1.31619786415976,103.767599818844",874,"1.28393326234538,103.851463066212",23.93333333,321 CLEMENTI,722,CLEMENTI MRT STATION (EW23),771,410 C'WEALTH AVE WEST
410 CHOA CHU KANG AVENUE 3 SINGAPORE 680410,"1.38062798768557,103.741520103731",CHUA CHU KANG PRIMARY SCHOOL,"1.37775890093367,103.741832917421",423,"1.28393326234538,103.851463066212",44.85,SUNSHINE PLACE,462,CHOA CHU KANG MRT STATION (NS4),767,410 CHOA CHU KANG AVE 3
410 EUNOS ROAD 5 SINGAPORE 400410,"1.31844042901657,103.899852177666",HAIG GIRLS' SCHOOL,"1.31194344271383,103.902902557195",953,"1.28393326234538,103.851463066212",17.73333333,SINGAPORE POST CENTRE,837,EUNOS MRT STATION (EW7),501,410 EUNOS RD 5
410 HOUGANG AVENUE 10 SINGAPORE 530410,"1.37388589154893,103.894681773728",CHIJ OUR LADY OF THE NATIVITY,"1.37330297140128,103.897575728303",737,"1.28393326234538,103.851463066212",32.65,HOUGANG MALL,210,HOUGANG MRT STATION (NE14),704,410 HOUGANG AVE 10
410 JURONG WEST STREET 42 SINGAPORE 640410,"1.35367352760289,103.726384287671",SHUQUN PRIMARY SCHOOL,"1.34765311431632,103.721523713379",1346,"1.28393326234538,103.851463066212",41.46666667,BOON LAY SHOPPING CENTRE,2177,LAKESIDE MRT STATION (EW26),1844,410 JURONG WEST ST 42
410 PANDAN GARDENS SINGAPORE 600410,"1.31900921124333,103.747433142313",QIFA PRIMARY SCHOOL,"1.31325113867272,103.756743261958",2384,"1.28393326234538,103.851463066212",34.41666667,JEM,2075,JURONG EAST MRT STATION (EW24 / NS1),2096,410 PANDAN GDNS
410 PASIR RIS DRIVE 6 SINGAPORE 510410,"1.37281637140974,103.953933460075",CASUARINA PRIMARY SCHOOL,"1.37246063927999,103.957020286115",558,"1.28393326234538,103.851463066212",38.86666667,DOWNTOWN EAST,624,PASIR RIS MRT STATION (EW1),929,410 PASIR RIS DR 6
410 SAUJANA ROAD SINGAPORE 670410,"1.38249502425508,103.767319126589",GREENRIDGE PRIMARY SCHOOL,"1.3858892193692,103.767794469258",528,"1.28393326234538,103.851463066212",45.28333333,GREENRIDGE SHOPPING CENTRE,457,BUKIT PANJANG MRT STATION (DT1),1156,410 SAUJANA RD
410 SEMBAWANG DRIVE SINGAPORE 750410,"1.45264774845535,103.817721274232",ENDEAVOUR PRIMARY SCHOOL,"1.45403837499301,103.817436231731",446,"1.28393326234538,103.851463066212",46.7,SUN PLAZA,772,SEMBAWANG MRT STATION (NS11),709,410 SEMBAWANG DR
410 SERANGOON CENTRAL SINGAPORE 550410,"1.34777896722642,103.873842922123",YANGZHENG PRIMARY SCHOOL,"1.34864575840923,103.868595527042",1013,"1.28393326234538,103.851463066212",20.86666667,NEX,602,SERANGOON MRT STATION (CC13),517,410 SERANGOON CTRL
SUN PLAZA VIEW,"1.35877773497643,103.946270788952",TAMPINES NORTH PRIMARY SCHOOL,"1.36047641484682,103.948725782833",539,"1.28393326234538,103.851463066212",36.88333333,TAMPINES MALL,866,TAMPINES EAST MRT STATION (DT33),1204,410 TAMPINES ST 41
410 WOODLANDS STREET 41 SINGAPORE 730410,"1.42873408236943,103.773488636437",FUCHUN PRIMARY SCHOOL,"1.43047990810126,103.778192944298",760,"1.28393326234538,103.851463066212",54.68333333,MARSILING MALL HAWKER CENTRE,1209,MARSILING MRT STATION (NS8),628,410 WOODLANDS ST 41
410 YISHUN RING ROAD SINGAPORE 760410,"1.4263498262218,103.846574295234",NORTH VIEW PRIMARY SCHOOL,"1.42752327193727,103.848190787869",377,"1.28393326234538,103.851463066212",40.1,WISTERIA MALL,1319,YISHUN MRT STATION (NS13),1778,410 YISHUN RING RD
CORAL SPRING,"1.39005269523174,103.875940509386",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",283,"1.28393326234538,103.851463066212",37.43333333,THE SELETAR MALL,217,BUANGKOK MRT STATION (NE15),2675,410A FERNVALE RD
CORAL SPRING,"1.38978938889476,103.876096713603",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",341,"1.28393326234538,103.851463066212",38.16666667,THE SELETAR MALL,274,BUANGKOK MRT STATION (NE15),2726,410B FERNVALE RD
CORAL SPRING,"1.38993920373878,103.876479595851",FERNVALE PRIMARY SCHOOL,"1.39030227963797,103.874445458032",416,"1.28393326234538,103.851463066212",37.06666667,THE SELETAR MALL,349,BUANGKOK MRT STATION (NE15),2651,410C FERNVALE RD
TECK GHEE HEARTLANDS,"1.36339526691913,103.855273018614",TOWNSVILLE PRIMARY SCHOOL,"1.36003263746623,103.853826048327",636,"1.28393326234538,103.851463066212",30.78333333,AMK HUB,1219,ANG MO KIO MRT STATION (NS16),1115,411 ANG MO KIO AVE 10
411 BEDOK NORTH AVENUE 2 SINGAPORE 460411,"1.32830977781597,103.931761785189",FENGSHAN PRIMARY SCHOOL,"1.32980598760785,103.931710293058",169,"1.28393326234538,103.851463066212",26.43333333,DJITSUN MALL BEDOK,452,BEDOK RESERVOIR MRT STATION (DT30),1312,411 BEDOK NTH AVE 2
